maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
clothing	belt	leather goods	garment	body armor	mandrel	teppich	thigh brace	buckler	mandrell	belt buckler	worn-out clothes	handbag	protective covering	worn by a person	car seat	support	part of body armor	worn-out habit	protective clothing
person	explorer	work of art	spelunker	hunter	thespian	adventurer	excursionist	exploration	aventurist	goblin	person of interest	quest	adventurous person	persuader	ditatus	manikin	traveler	dungeon	archeologist
written contract	written agreement	constitutional law	bargaining unit	bargaining chip	written document	equivalence	guarantee	vowel	law of nature	non-abusiveness	abridgement	non-disclosure	non-conformity	non-conforming condition	non-admissibility	non-conformingity	reserve of rights	juridical theory	non-advertising
person	writer	actor	publicist	personal name	sportsperson	individual	politician	leader	poet	author	surname	political scientist	profane person	private person	profanist	profanity	theologian	personality type	man
pragmatics	practicality	attitude	sensibleness	virtue	action	mental state	approach	socialism	rationalism	prudence	rationality	sentimentalism	prudentness	practicalness	theology	sensitivity	mode of action	social action	mode of thinking
liberty	freedom	right	freedom of speech	dharma	law of the land	natural law and natural right	natural law and natural rights	givenness	natural law and natural phenomenon	theology	monetary unit	thespian	lawfulness	written language	natural law	religiousness	private property	law of nature	constitutional monarchy
body of water	zone	waterbody	channel	reservoir	natural depression	river	abyss	inlet	depression	sandbank	sedimentary system	sand bank	edifice	sand dunes	impoundment	sedimentary layer	gulf	sea	sandbox
criminal	person	criminal offender	act of crime	perpetrator	swindler	wrongdoer	villain	fraud	criminality	criminal offense	prevaricator	malicious person	con man	persecutor	foul-mouthed person	falsehood	foul play	deceiver	wrongdoing
window	pane	glass	partition	work of art	part	window panel	window part	panel	window pane	window unit	structural member	sheet material	fitting	window screen	window and door	insulating layer	technical specification	technical specifications	panes
appearance	apparition	visual perception	perception	illusion	visual phenomenon	appearances	phenomenon	manifested state	appariment	appearence	optical illusion	manifestation	manifested form	manifested person	manifested value	phantom	trance state	eyewitness	projection ontographic structure
person	magistrate	jurist	legal expert	jurisconsult	political leader	thespian	politician	lawgiver	president	court jurisconsult	politico-economic expert	politico-economical person	politico-economical analyst	legal scholar	leader	chief of state	polity	scholar	court martial artist
woofer	speaker	loudspeaker	obturator	sound reproducor	sound unit	person	sound system	obtrusor	protruding body part	protruding piece of material	protruding part	protruding piece of furniture	protruding object	protruding piece of wood	protruding body structure	protruding piece of glass	protruding piece of fabric	protruding piece of rock	sonic category
book	work of art	work of literature	biblical text	exodus	exodus (book)	literary device	written language	literary form	intellectual property	religious writing	exoduse	exoduses	episteiology	episteus	book of record	exodos	psalm	story	literary form and work of art
medicine	drug	medication	antidepressant	chemical class	drugs	pharmaceutical drug	theophylline	sedative drug	alkaloid	antipsychotic drug	sedative agent	thesoretical medicine	steroid	psychoactive drug	chemical compound	steroid hormones	benzidine	drug class	hormone hormone
piece of music	work of art	software program	computer software	piece of work	coding system	music genre	software	programming language	library science	musical composition	cymbal	css	database management system	textfile	music group	piece of work of art	musical work	system software	video game genre
company	firm	person	construction company	concern	manufacturer	manufactory	manufacturing company	engineering science	artisan	maker	fictitious character	venture	craftsman	architect	equestrian	entrepreneur	man u.s.	man u. s.	mansarola
market price	market place price	market rate	price	exchange rate	monetary value	monetary unit	market value	prices	quoted price	function	per kilo	cost per unit	per pound	fixed-price instrument	financial market	market place	market index	per odometer	per dolar
equilibrium	balance	biochemistry	physiological state	condition	ecological balance	stabilization	stability	state	function	biochemical process	biostatus	biology	function of time	condition of being constant	biochemical phenomenon	observable	condition of being stable	physiological equilibrium	normalization of conditions
person	sportsperson	jock	athlete	professional athlete	thespian	footballer	player	football team	coach	personage	politician	leader	horologist	symphonist	sports club	racquet group	racquet player	racquetball	racquet band
bacteria	organism	microscopic organism	molecular biology	fungal pathogen	pathogen	biofilm	bacillus	bacterium	staphylococcus	micro-organism	micro organism	cryptococcos.	phytopathogenic microorganism	staphylococcia	procyptid	microscopic organisms	staphylococcus.	cryptococcosis	protozoan parasite
bodily structure	body part	armour	limbs	piece of work	human body part	physical system	piece of work of art	aforesaid description is not complete.	aforesaid description.	human body structure	aforesaid description is not exhaustive.	aforesaid description is not intended.	aforesaid description has been changed.	aforesaid description	aforesaid description is not meant.	aforesaid	aforesaid description is incorrect.	aforesaid.	articular organ
disease	sickness	illness	pathological state	disorder	pathology	symptom	medical science	maladjustment	medical instrument	pathological process	disease process	ailment	thespill fungus	phlegmatic disorder	pathologic state	phlegmatic disease	phlegmatic illness	phthic disorder	thesp?
way	path	transportation	conveyance	means of transportation	motorway	transitory transport	mode of transport	physical system	transitory route	route	travel	means	track	calendaire	aqueduct	tethered path	transport	tethered system	tethered pathway
person	comic book character	eponymous species	fictional character	female person	playwright	fictitious character	actor	female character	persona	writer	animal	species	eponymous character	thespian	book of drawings	girl character	tv show	bookman	role in folkloric mythology
bow	thespian	archery	obturator	weapon	firearm	stick	stringed instrument	musketeer	musketeering	musket	oxbow	game mechanics	oblique angle angle	archery term	boxing hoop	gameplay	bowing instrument	sportsperson	armour and gear
person	sportsperson	law enforcement officer	jurisconsult	jock	sportswoman	writer	legal expert	professional athlete	court reporter	television producer	sports club	political leader	contestant	private attorney	actor	jurist	speaker	author	journalist
music group	band	work of art	musical work	group event	video game genre	musical group	musical organization	motion picture	medium	computer software	computer programme	video recording	moving-picture show	album	rock 'n' roll	slasher film	rock n' folk music	film	music genre
enclosure	habitat	animal husbandry	hostelry	municipal corporation	ecological system	zoo	enclave	encampment	camping site	cottage industry	encroachment	colony	place of worship	animal stomping ground	living room	living quarters	parkland	piece of land	social gathering
micro-organism	mechanism	mechanical assembly	gearbox	engine	electromagnetic wave (magnetic wave)	technical specification	equilibrist	component	work of art	device	part	apparatus	abrasive	pc board	source of energy	source of motion	source of power	electromagnetic wave (magnetic energy)	energy source
fictitious character	fictional character	film	movie	sci-fi action movie	action film	sci-fi movie	person	figure	fictional person	thespian/horror film	sci-fi film	sci-fi and dystopian drama	sci-fi/horror movie	sci-fi/horror fiction	video game genre	moving picture	sci-fi drama	sci-fi thriller	sci-fi novel
"monarch	monarchy	sovereign	patroness (person)	royal elizabeth	elizabeth	person	female person	constitutional monarch	head of state (sustainer)	port of call	emir	majesty	patroness (personnel)	royal family	title	sovereignty	title of respect	political system	abbreviation of ""queen"" and ""emu"""
food product	dish	product	foodstuff	food item	grocery store	carbohydrate	baked good	nutrient	concoction	bakery products	goods of the highest quality	dietary product	culinary art	goods of the world	dietary ingredient	culinary artifact	pastries	goods of manufacture	dietary supplement
foam	polymer	polystyrene	packing material	material	Foam	therofoam	celluloid	thermoplastic	product	granular material	polystyrofoam	styrofoam	polystyroporus	polypropulous material	caoutchoucrystamid	caoutchouc material	non-wooden products	adverb	of course. insulating material
person	enemy combatant	bomber	military branch	aviator	thespian	pronunciator	terrorist	bombmaker	machinist	macho person	sailor	armed forces	savage	armed combat	armed forces personnel	slang	armed forces man	combative person	writer
ordinary	ordinary person	ordinary people	monetary unit	grammatical category	lexical category	ordinaryness	ordinariness	ordinary man	common man	common people	fictitious character	ordinal	homonym	regular person	common person	commoner	grammatical classification	grammatical convention	ordinarily
beverage	foodstuff	drink	product	food stuff	beverages	diabolical term	culinary preparation	endogenous pathogen	chemical action	alcoholic beverage	diaphoretic term	endogenous pathology	edible food	aqueous solution	eating food	concoction	concocted liquor	food product	chemical process
sheet of paper	oblique shape	piece of work	written language	relief	extensor	shape	eyeglasses	extensibility	extensión	foreground	explanatory space	alleviation	adverbial expression	oblique area	opacification	opacity	sheet of paper or other material	adverb	extensiv
person	bodily structure	fictional character	fictive character	writer	character	female person	city	fictitious character	actress	woman	animal	personal name	given name	female character	doll	written language	forename	inanimate object	portuguese person
government policy	political economy	economics	state of affairs	organizational unit	corporate strategy	social norm	law-making	work of art	technical specification	state of matter	legality	corporate governance	government action	economics and politics	state of mind	legal doctrine	state of play	public administration	state of law
person	aristocrat	leader	political leader	military man	captain	courtier	chief of staff	gunner	shooter	combatant	lord of the manor	chief	jurisconsult	soldier	legal expert	holder of office	horologist	official	commissioned officer
city	province	township	town	island	locale	local government	piece of land	country	mapmaking	geographical point	point of reference	edifice	equidistant city	local government area	land site	equator	asian province	equilateral point	geographic location
person	actress	writer	leader	political leader	actor	politician	tv show	film maker	film director (film maker)	boss	chief	playwright	playwrighting	tv producer	film director (filmmaker)	political campaigner	television producer	television series	producer
judgement	rule	rule of evidence	rule of law	judgment	judge	rule of reason	legal opinion	trial	ruling	written rule	case law	proof	evidence	testimony	court	jurisprudence	knowledge test	equivalence	decision
person	jurist	judge	jurisconsult	judicial officer	adjudicator	legal expert	lawgiver	law-giver	presiding magistrate	juriist	courtroom adjudicator	professed jurisconsult	lawful person	judicial person	professed lawyer	an evaluator	magistrator	law-abiding person	presiding officer
political system	dictatorship	government	rule of law	dictature	governmental system	authoritarian regime	regime	oppressive regime	dictatorial regime	political organization	political organisation	governing system	authoritarian	politburo	relic of war	relic of time	constitutional monarchy	edifice	social control
law of nature	rule of law	technical specification	norm	natural law	rule of thumb	natural phenomenon	written document	law	etymology	normative law	function	rule	etiology	legal requirement	physical phenomenon	etiquette	general rule	observable	general law
innate capacity	innate ability	bodily process	response	emotional response	natural action	function	involuntary behavior	involuntary behaviour	reflexiveness	behavioural science	involuntary response	involuntary reaction	involuntary state	physiological response	involuntary reflex	involuntary nature	physiology	reflexive action	reflex response
deity	person	animal	moniker	written language	picturing	grammatical category	kaos	written communication	lexical category	inanimate object	musical composition	pictural representation	drawing	lexical class	inanimate thing	kaon	pictorial representation	symbolism	illustration
person	sportsperson	jock	political leader	footballer	professional footballer	sporting event	politician	chief	leader	photographer	writer	tennis player	athlete	boss	lawyer	legal expert	physicist	sportswoman	hordes of people
music group	mythology	classical classical music	musician	musical group	poetess	mythological being	person	poet	musical composition	fictitious character	musical organization	religious artifact	roman poetess	mythological creature	mythical creature	band	roman god and deity	rock band	philosophical philosophy
deliberation	decision-making	bargaining	economics	decision making	negotiation	judicial adjudication	social control	arbitrage	judicial arbitrage	judicial review	market economy	dispute resolution	ruling by adversity	ruling by a board of directors	ruling by the book	ruling by apex court	trade union organization	ruling by comitologie	arbitrator
coat of arms	physical property	armed stab	weapon	armour	armor	armed services uniform	piece of work	ax	cartouche	detachment	metal tack	counterpart	armpit	armed guard	weaponry	military unit	counter-offense	weapon system	counter-part
person	philosopher	humanist	writer	jurist	leader	inventor	political leader	lawyer	jurisconsult	person of interest	literary works	social reformer	advocate	aristocrat	suffragist	poetess	evaluator	satirist	philosopher of science
criminal offense	murder	manslaughter	wrongdoing	misdemeanor	criminal offence	misdemeanour	wrongful act	wrongful conduct	involuntary manoeuvre	jury trial	homicide	vehicular traffic accident	committing crime	murderer	involuntary manslaughter	manslaughter and homicide	manslaughter.	involuntary manslaughter (d)	manslaughter and murder
animal	mammal	species	bird	carnivore	molecular biology	horse	companion animal	specious mammal	creature of the same era	creature of the same kind	thespian	coyote	speciflora	wild animal	coyotes	lizard	specie of mammal	anteater	creature of the same order
person	specialist	medical professional	medical doctor	physician	medical expert	medical practitioner	occupational health care provider	social worker	scholarly person	doctor	physicist	health care professional	scholar	professed health care provider	theologynist	medical specialist	profession	law grading system	professeur
state	city	country	place of incorporation	local government	city district	polity	euphoria	place of residence	monograph	place of election	portugal	place of election; political organisation	equator	local government district	local government area	ecuador	place of birth	mongolitic nation	place of formation
tomb	burial ground	sarcophagus	body of water	constructed structure	monument	sarcophaginus	stone mausoleum	dish and dishwashing dish	dish and dishwashing liquid	funeral sarcophagus	funeral pyr	dish and dishwashing basin	dish and dishwashing pan	dish and dishwashing soap	dish and dishwashing machine	archaeology	dish and dishwashing liquid.	dish and dishwashing dish.	inscribed on the ground
person	possessor	collector	consumer	animal	agriculturist	shopper	buyer	persuader	fictitious character	molecular biology	persecuted person	molecular biological group	accumulator	persecuted victim	owner	persecutor	steward	absorber	fictitious person
microcontroller	semiconductor	electronic circuitry	computer chip	microchip	microprocessor	semiconductor device	chipset	chip	electronic component	electronics chip	ecclesiastical structure	component	ecclesiastical term	ecclesiastical level	arithmetic unit	electronic circuit	microcomputer	microcontroller device	semiconductor chip
celebration	festival	social occasion	time of year	occasion	socioeconomic status	olympiad	horological term	celebrations	horological time period	time of the year	sociability	time of celebration	olympiade	protracted period of time	horoscope	festivity	social function	proclivity	sociology
